TimeStamp,D1_Commanded_Torque,D1_DC_Bus_Voltage,D2_Motor_Speed,IVT_Result_I
1718634592850.225586,0,517.318,690.634,-805.252
1718634592859.225342,7.08324,516.906,699.817,-797.086
1718634592868.225098,12.2,516.518,709.572,-884.383
1718634592877.224854,5.11742,516.998,720.286,-902.452
1718634592886.224609,0,517.384,729.163,-870.503
1718634592895.224365,0,516.706,733.592,-818.885
1718634592904.224121,7.42986,516.178,735.285,-732.037
1718634592913.223877,12.8,516.498,737.592,-670.585
1718634592922.223633,5.37083,517.212,737.877,-770.482
1718634592931.223389,0,517.422,736.715,-870.38
1718634592940.223145,0,517.572,729.715,-768.399
1718634592949.222656,0,517.622,721.777,-647.355
1718634592958.222412,6.96322,517.865,705.271,-688.817
1718634592967.222168,12,517.412,682.617,-802.814
1718634592976.221924,12,516.731,665.433,-991.82
1718634592985.221680,5.03776,516.763,659.876,-1315.34
1718634592994.221436,0,517.119,659.655,-1500.58
1718634593003.221191,6.84556,517.175,655.124,-1263.88
1718634593012.220947,11.8,517.741,653,-1032.65
1718634593021.220703,4.95508,517.29,656.283,-1018.51
1718634593030.220459,0,517.21,657.186,-1004.37
1718634593039.220215,0,518.369,652.593,-854.758
1718634593048.219971,0,518.619,648.187,-644.614
1718634593057.219727,0,518.488,644.062,-490.803
1718634593066.219482,0,518.512,642.062,-400.805
1718634593075.219238,0,518.112,640.062,-310.919
1718634593084.218994,0,518.369,637.594,-221.371
1718634593093.218750,0,519.322,633.188,-132.698
1718634593102.218506,0,518.909,628.594,-79.1499
1718634593111.218262,0,518.181,623.25,-25.6013
1718634593120.218018,0,517.891,620.406,3.04504
1718634593129.217773,8.11654,517.387,620.125,25.5444
1718634593138.217285,14,516.71,621.749,-72.4761
1718634593147.217041,5.8846,516.403,629.748,-257.871
1718634593156.216797,0,517.809,647.119,-379.734
1718634593165.216553,0,518.078,671.37,-387.384
1718634593174.216309,0,517.225,692.307,-393.878
1718634593183.216064,0,516.987,705.874,-392.978
1718634593192.215820,0,517.387,711.279,-392.078
1718634593201.215576,0,517.506,713.126,-365.006
1718634593210.215332,0,517.634,711,-335.435
1718634593219.215088,0,517.197,708.19,-287.867
1718634593228.214844,0,517.383,703.595,-227.237
1718634593237.214600,0,517.985,699.19,-174.559
1718634593246.214355,0,517.915,693.659,-130.91
1718634593255.214111,0,519.015,687.722,-92.2011
1718634593264.213867,0,518.664,681.191,-68.6303
1718634593273.213623,0,517.928,674.723,-45.0596
1718634593282.213379,0,518.768,667.723,-61.1559
1718634593291.213135,6.95085,519.44,661.659,-81.0501
1718634593300.212891,12,518.898,658.532,-236.814
1718634593309.212646,5.0498,517.585,659.404,-426.238
1718634593318.212402,0,517.187,661.468,-561.963
1718634593327.211914,6.60176,517.915,663.404,-636.659
1718634593336.211670,12.2107,517.19,669.68,-858.986
1718634593345.211426,12.8,516.121,684.827,-1534.42
1718634593354.211182,5.38854,516.506,706.294,-2181.09
1718634593363.210938,0,517.383,722.211,-1630.75
1718634593372.210693,0,517.705,724.193,-1080.42
1718634593381.210449,0,516.987,720.532,-940.441
1718634593390.210205,6.83116,517.106,714.386,-902.3
1718634593399.209961,4.96916,517.094,703.322,-942.269
1718634593408.209717,0,518.323,685.371,-1071.11
1718634593417.209473,0,518.571,658.372,-1054.02
1718634593426.209229,0,517.306,630.905,-773.683
1718634593435.208984,0,517.294,613.194,-516.915
1718634593444.208740,0,518.616,606.259,-412.068
1718634593453.208496,0,519.205,602.468,-307.221
1718634593462.208252,0,518.581,601.13,-225.357
1718634593471.208008,0,518.432,596.195,-145.709
1718634593480.207764,0,518.368,591.597,-90.8923
1718634593489.207520,0,518.105,586.727,-47.2435
1718634593498.207275,0,517.527,583.935,-13.9827
1718634593507.206787,0,518.367,582.195,7.44473
1718634593516.206543,0,518.993,580.402,28.2861
1718634593525.206299,0,518.539,583.402,45.3383
1718634593534.206055,0,517.666,598.086,62.8551
1718634593543.205811,0,518.101,632.16,100.204
1718634593552.205566,0,518.9,671.29,137.553
1718634593561.205322,6.59341,518.526,698.009,63.3397
1718634593570.205078,11.4,517.866,708.803,-38.6576
1718634593579.204834,4.80721,517.834,710.598,-185.506
1718634593588.204590,0,517.773,710.869,-383.501
1718634593597.204346,6.59217,517.213,712.066,-625.235
1718634593606.204102,11.4,516.393,717.073,-946.076
1718634593615.203857,4.80845,516.307,727.27,-1204.68
1718634593624.203613,0,515.972,735.204,-1060.26
1718634593633.203369,0,515.921,738.132,-915.832
1718634593642.203125,6.9375,517.107,733.198,-1076.44
1718634593651.202881,12,516.626,723.929,-1313.14
1718634593660.202637,12,516.06,706.26,-1681.46
1718634593669.202393,12,516.32,677.657,-2145.84
1718634593678.202148,5.0638,516.893,637.989,-2181.62
1718634593687.201904,7.16707,516.907,596.259,-1441.39
1718634593696.201416,12.4,516.613,573.199,-815.618
1718634593705.201172,5.23394,516.587,574.201,-932.615
1718634593714.200928,0,516.8,585.535,-1049.61
1718634593723.200684,0,516.707,591.6,-835.301
1718634593732.200439,0,517.487,593.267,-588.708
1718634593741.200195,0,518.407,596.067,-469.839
1718634593750.199951,0,518.3,596.4,-408.64
1718634593759.199707,7.39514,517.973,599.867,-421.567
1718634593768.199463,5.40521,517.227,604.333,-519.214
1718634593777.199219,0,516.52,612.132,-581.894
1718634593786.198975,0,516.853,619.866,-536.445
1718634593795.198730,0,517.507,628.065,-490.95
1718634593804.198486,0,517.4,635.933,-443.379
1718634593813.198242,0,516.84,641.665,-395.809
1718634593822.197998,0,517.18,646.534,-334.515
1718634593831.197754,0,518.487,649.265,-267.017
1718634593840.197510,0,518.327,651.134,-210.233
1718634593849.197266,6.92969,518.087,651.332,-165.708
1718634593858.197021,12,517.601,653.534,-189.675
1718634593867.196777,5.07096,516.893,657.197,-337.956
1718634593876.196533,0,517.28,661.067,-482.302
1718634593885.196045,0,517.74,662.331,-450.354
1718634593894.195801,0,517.76,662.203,-418.405
1718634593903.195557,0,517.833,660.865,-374.129
1718634593912.195313,0,517.867,659.271,-326.762
1718634593921.195068,0,518.812,656.398,-279.845
1718634593930.194824,0,519.408,653.805,-233.132
1718634593939.194580,0,518.314,649,-186.388
1718634593948.194336,0,518.286,644.34,-139.589
1718634593957.194092,0,518.314,638.068,-111.359
1718634593966.193848,7.04055,518.007,633.738,-204.506
1718634593975.193604,5.15978,518.459,631.398,-297.654
1718634593984.193359,0,518.308,633,-370.728
